127.0.0.1 - - [17/May/2024:13:25:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [17/May/2024:13:25:40 +0530] "GET /gcet-mini-project/index.jsp HTTP/1.1" 200 7399
0:0:0:0:0:0:0:1 - - [17/May/2024:13:25:40 +0530] "GET /gcet-mini-project/assets/js/blank.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/May/2024:13:25:40 +0530] "GET /gcet-mini-project/assets/js/jquery.min.js HTTP/1.1" 404 804
0:0:0:0:0:0:0:1 - - [17/May/2024:13:25:40 +0530] "GET /gcet-mini-project/assets/js/liquidmetal.js HTTP/1.1" 404 805
0:0:0:0:0:0:0:1 - - [17/May/2024:13:25:40 +0530] "GET /gcet-mini-project/assets/css/main.css HTTP/1.1" 200 8734
0:0:0:0:0:0:0:1 - - [17/May/2024:13:25:40 +0530] "GET /gcet-mini-project/assets/css/dashboardStyle.css HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [17/May/2024:13:25:40 +0530] "GET /gcet-mini-project/assets/js/jquery.flexselect.js HTTP/1.1" 404 811
0:0:0:0:0:0:0:1 - - [17/May/2024:13:51:11 +0530] "GET /gcet-mini-project/AdminLogin.jsp HTTP/1.1" 200 3122
0:0:0:0:0:0:0:1 - - [17/May/2024:13:51:11 +0530] "GET /gcet-mini-project/assets/js/blank.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/May/2024:13:51:14 +0530] "POST /gcet-mini-project/LoginFormController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2024:13:51:14 +0530] "GET /gcet-mini-project/indexAdmin.jsp HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [17/May/2024:13:51:28 +0530] "GET /gcet-mini-project/ViewBusOperators.jsp HTTP/1.1" 200 3605
0:0:0:0:0:0:0:1 - - [17/May/2024:13:53:32 +0530] "POST /gcet-mini-project/LoginFormController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2024:13:53:32 +0530] "GET /gcet-mini-project/indexUser.jsp HTTP/1.1" 200 3698
0:0:0:0:0:0:0:1 - - [17/May/2024:13:53:39 +0530] "GET /gcet-mini-project/SearchBusForm.jsp HTTP/1.1" 200 4791
0:0:0:0:0:0:0:1 - - [17/May/2024:13:53:39 +0530] "GET /gcet-mini-project/assets/js/blank.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:04 +0530] "POST /gcet-mini-project/SearchBusFormController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:05 +0530] "GET /gcet-mini-project/SearchBusForm.jsp?msg=Wrong%20date%20selection!%20(Present%20day%20or%20previous%20day%20selected) HTTP/1.1" 200 4883
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:05 +0530] "GET /gcet-mini-project/assets/js/blank.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:16 +0530] "GET /gcet-mini-project/GetBookingHistory.jsp HTTP/1.1" 200 2999
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:25 +0530] "GET /gcet-mini-project/CancelTicket.jsp HTTP/1.1" 200 3599
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:25 +0530] "GET /gcet-mini-project/assets/js/blank.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:35 +0530] "POST /gcet-mini-project/CancelTicketController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:35 +0530] "GET /gcet-mini-project/CancelTicket.jsp?msg=Booking%20cancelled%20sucessfully&bid=booking4 HTTP/1.1" 200 3570
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:35 +0530] "GET /gcet-mini-project/assets/js/blank.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:40 +0530] "GET /gcet-mini-project/GetBookingHistory.jsp HTTP/1.1" 200 2869
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:45 +0530] "GET /gcet-mini-project/indexUser.jsp HTTP/1.1" 200 3698
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:50 +0530] "GET /gcet-mini-project/GetBookingHistory.jsp HTTP/1.1" 200 2869
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:55 +0530] "GET /gcet-mini-project/CancelTicket.jsp HTTP/1.1" 200 3468
0:0:0:0:0:0:0:1 - - [17/May/2024:13:54:55 +0530] "GET /gcet-mini-project/assets/js/blank.js HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [17/May/2024:13:55:01 +0530] "POST /gcet-mini-project/CancelTicketController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/May/2024:13:55:01 +0530] "GET /gcet-mini-project/CancelTicket.jsp?msg=No%20such%20Booking%20Id%20Found%20&bid=booking4 HTTP/1.1" 200 3566
0:0:0:0:0:0:0:1 - - [17/May/2024:13:55:01 +0530] "GET /gcet-mini-project/assets/js/blank.js HTTP/1.1" 404 799
